id;file_type_name;file_medium_type;description;file_template;file_template_content_type;file_type
1;Indiana scale;EXCEL_XML;Delaware Realigned;../fake-data/blob/hipster.png;image/png;AMORTIZATION_ENTRIES
2;Operations;HTML5;Loop auxiliary;../fake-data/blob/hipster.png;image/png;SERVICE_OUTLETS
3;Cambridgeshire redundant;JSON;Accounts;../fake-data/blob/hipster.png;image/png;SERVICE_OUTLETS
4;Investment Account;EXCEL_XML;Shirt;../fake-data/blob/hipster.png;image/png;SERVICE_OUTLETS
5;zero administration Cambridgeshire harness;JSON;Administrator;../fake-data/blob/hipster.png;image/png;PREPAYMENT_ENTRIES
6;expedite Frozen;EXCEL_XLSB;Metrics Montenegro;../fake-data/blob/hipster.png;image/png;TRANSACTION_ACCOUNTS
7;intuitive Gourde US Dollar back-end;EXCEL_XML;Analyst virtual;../fake-data/blob/hipster.png;image/png;AMORTIZATION_ENTRIES
8;Specialist Tactics ADP;PDF;Australia;../fake-data/blob/hipster.png;image/png;PREPAYMENT_ENTRIES
9;Home Loan Account;HTML5;microchip;../fake-data/blob/hipster.png;image/png;TRANSACTION_ACCOUNTS
10;program Chicken;EXCEL_CSV;overriding;../fake-data/blob/hipster.png;image/png;PREPAYMENT_ENTRIES
